Rechnungspositionen;Das System MUSS Positionszeilen je Preisbestandteil (Mietpreis, Zusatzprodukte, Versicherungen, Gebühren) übernehmen.
Rechnungssplitting;Das System MUSS Rechnungssplitting auf mehrere Zahler/Kostenstellen ermöglichen.
Rechnungsversand;Das System MUSS Rechnungsversand per E-Mail und Download bereitstellen.
Reporting;Das System MUSS Berichte zu Offenen Posten, DSO, Zahlungsmix und Mahnquote liefern.
Schadensabrechnung;Das System MUSS Beschädigungen als abrechenbare Position erfassen.
SEPA-Lastschrift;Das System MUSS SEPA-Lastschriften erstellen und Einzüge protokollieren.
Steuerberechnung;Das System MUSS Steuern pro Position anhand Produktmerkmalen und Standort berechnen.
Stornoabwicklung;Das System MUSS Stornos mit automatischer Korrekturrechnung erzeugen.
Tarifprotokollierung;Das System MUSS Preisberechnungen mit Tariflogik reproduzierbar protokollieren.
Teilzahlungen;Das System MUSS Teilzahlungen pro Mietvorgang unterstützen.
Traceability;Das System MUSS Rechnungs- und Zahlungsstatus mit User Story/Epic verlinken.
Überziehungsgebühren;Das System MUSS Verspätungs- und Überziehungsgebühren automatisch kalkulieren.
Währungsumrechnung;Das System MUSS Währungsumrechnung mit dokumentiertem Kurszeitpunkt durchführen.
Zahlungsabgleich;Das System MUSS Kontoauszüge automatisiert gegen offene Posten abgleichen.
Zahlungsartenverwaltung;Das System MUSS Zahlungsarten (Kreditkarte, EC, Rechnung, Gutschein) verwalten und prüfen.
Zahlungsstatusführung;Das System MUSS Zahlungsstatus (offen, teilbezahlt, bezahlt, rückerstattet) führen.
Zeitliche Abgrenzung;Das System MUSS zeitliche Abgrenzungen bei monatsübergreifender Miete bilden.
Zusatzleistungsabrechnung;Das System MUSS Zusatzleistungen und Versicherungen periodisieren und abrechnen.
Änderungsprotokollierung;Das System MUSS alle Änderungen an Rechnungen, Zahlungen und Stammdaten mit Zeitstempel und Benutzer-ID protokollieren.
Audit-Trail-Verfügbarkeit;Das System MUSS den vollständigen Lebenszyklus einer Rechnung oder Zahlung nachvollziehbar dokumentieren.
Aufbewahrungsfristen;Das System MUSS eine zehnjährige elektronische Aufbewahrung aller steuerlich relevanten Unterlagen gewährleisten.
Belegnummerierung;Das System MUSS fortlaufende, lückenlose Belegnummernvergabe sicherstellen.
Benutzerprotokollierung;Das System MUSS alle relevanten Benutzeraktionen im Rechnungswesenbereich (Erstellung, Änderung, Storno) aufzeichnen.
Datenexport für Betriebsprüfung;Das System MUSS einen GoBD-konformen Datenexport (z. B. IDEA-Format, GDPdU) ermöglichen.
Datenübermittlung an Prüfer;Das System MUSS steuerlich relevante Daten auf Anforderung digital bereitstellen können, ohne Veränderung der Originaldaten.
Dokumentenverknüpfung;Das System MUSS Belege, Buchungen und zugehörige Geschäftsobjekte (z. B. Reservierung) eindeutig verknüpfen.
Exportvalidierung;Das System MUSS vor dem Export eine Validierung der GoBD-relevanten Daten durchführen.
Nachvollziehbarkeit von Korrekturen;Das System MUSS Korrekturen nur über Gutschrift oder Stornorechnung zulassen und den Bezug zur Ursprungsrechnung erhalten.
Nachweis der Datenintegrität;Das System MUSS sicherstellen, dass archivierte Daten vor Manipulation geschützt sind (z. B. Hashing oder Signierung).
Plausibilitätsprüfungen;Das System MUSS prüfen, dass steuerlich relevante Buchungen vollständig und konsistent sind.
Protokollauswertung;Das System MUSS Prüf- und Änderungsprotokolle maschinell auswertbar bereitstellen können.
Prozessdokumentation;Das System MUSS Änderungen an buchungsrelevanten Prozessen versioniert dokumentieren (Verfahrensdokumentation).
Revisionssichere Archivierung;Das System MUSS Rechnungen, Gutschriften und Zahlungsbelege unveränderbar, vollständig und nachvollziehbar archivieren.
Sicherung und Wiederherstellung;Das System MUSS regelmäßige Datensicherungen durchführen und eine Wiederherstellung ermöglichen.
Systemänderungsprotokoll;Das System MUSS Änderungen an Systemparametern, die die Rechnungslogik beeinflussen, dokumentieren und versionieren.
Unveränderbarkeit von Buchungen;Das System MUSS verhindern, dass bereits gebuchte Rechnungen oder Zahlungen ohne Storno gelöscht oder überschrieben werden.
Versionshistorie;Das System MUSS frühere Versionen von Rechnungs- und Kundendaten vollständig abrufbar halten.
Zugriffsschutz;Das System MUSS sicherstellen, dass nur berechtigte Benutzer auf abrechnungsrelevante Daten zugreifen oder diese ändern können.
