# runtime-coordinate callers — maintained by scripts/check_runtime_coordinate_callers.py
# DO NOT ADD A SITE WITHOUT REVIEWING ITS RECIPIENT/RESOURCE AUTHORITY.
# Regenerate with `python scripts/check_runtime_coordinate_callers.py --write`;
# new sites are deliberately marked `unclassified` until reviewed.
# Classifications identify the reviewed boundary: exact runtime recipient,
# fresh Kubernetes attestation, pinned host key, VM authority, local-only,
# read-only probe, or a Kubernetes path contained before network I/O.
#
# A site is identified by its call, not by its position: <callee> is
# the call target and <fingerprint> hashes the normalized argument
# structure. Reordering calls preserves classifications; changing a
# target or an argument shape mints a new `unclassified` site.
#
# <file>  <enclosing qualname>  <kind>  <callee>  <fingerprint>  #<ordinal>  <classification>

orchestrator/main.py  get_job_shell_state  http  client.post  bf6f92151082  #1  exact-runtime-recipient
orchestrator/main.py  pause_job  http  client.post  c40208b4763b  #1  exact-runtime-recipient
orchestrator/main.py  upload_files_to_thread  remote-effect  upload_files_to_attested_vm_workspace  8f1a01b30667  #1  fresh-k8s-attestation
orchestrator/services/canvas_ssh.py  resolve_remote_workspace_target  remote-effect  RemoteWorkspaceTarget  2c2ece0ea102  #1  pinned-host-key
orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  _run_ssh_capture  3f83ac72f00a  #1  vm-authority
orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  _run_ssh_capture  8161a3ff0171  #1  vm-authority
orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  build_agent_ssh_cmd  5dc7a4d96427  #1  vm-authority
orchestrator/services/cloud_staging/stage.py  _run_authorized_ssh_capture  ssh  build_agent_ssh_cmd  af19e4cb2391  #1  vm-authority
orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  remote-effect  postgres_db.publish_ro_mount_staging_exact  56819aa16438  #1  vm-authority
orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  remote-effect  postgres_db.publish_vm_ro_mount_staging_exact  7dcd527df03e  #1  contained-k8s
orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  remote-effect  postgres_db.update_ro_mount_staging  e34bccb3e77d  #1  contained-k8s
orchestrator/services/cloud_staging/stage.py  _stage_thread_cloud_diff  ssh  _run_authorized_ssh_capture  36ed71025bde  #1  contained-k8s
orchestrator/services/cloud_staging/stage.py  _stream_authorized_tar  ssh  build_agent_ssh_cmd  3432b34d15be  #1  vm-authority
orchestrator/services/cloud_staging/stage.py  _stream_authorized_tar  ssh  build_agent_ssh_cmd  ad317ba9f7ed  #1  vm-authority
orchestrator/services/container_provisioner.py  ContainerProvisioner._create_ide_pod_legacy  remote-effect  self._seed_workspace_state  cd45bd21d0c8  #1  fresh-k8s-attestation
orchestrator/services/container_provisioner.py  ContainerProvisioner._create_pinned_workspace_legacy  remote-effect  self._seed_workspace_state  cd45bd21d0c8  #1  fresh-k8s-attestation
orchestrator/services/container_provisioner.py  ContainerProvisioner._release_captured_workspace  remote-effect  self._snapshot_service.capture_vm_snapshot  8fbdf2e3ec4d  #1  fresh-k8s-attestation
orchestrator/services/container_provisioner.py  ContainerProvisioner._release_captured_workspace  remote-effect  self._snapshot_service.reconcile_terminal_snapshot_generation  5dedc83040e5  #1  fresh-k8s-attestation
orchestrator/services/container_provisioner.py  ContainerProvisioner._seed_workspace_state  remote-effect  seed_ide_profile  bedb406715e6  #1  fresh-k8s-attestation
orchestrator/services/container_provisioner.py  ContainerProvisioner._wait_for_ready  ssh  WorkspaceSSHAuthenticationError  ef1993caad57  #1  pinned-host-key
orchestrator/services/container_provisioner.py  ContainerProvisioner._wait_for_ready  ssh  wait_for_agent_ssh  0b47eaccbfa8  #1  pinned-host-key
orchestrator/services/container_provisioner.py  ContainerProvisioner.release_workspace  remote-effect  self._snapshot_service.capture_vm_snapshot  8fbdf2e3ec4d  #1  fresh-k8s-attestation
orchestrator/services/container_provisioner.py  ContainerProvisioner.wait_for_workspace_code_server  http  client.get  26953bc71144  #1  fresh-k8s-attestation
orchestrator/services/ide_proxy.py  IdeProxyService._attest_k8s_target  remote-effect  IdeProxyTarget  e974ce0ee82c  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._clone_gitea_to_vm  ssh  self._install_and_sync_managed_repository_over_ssh  c6fb8c5b7144  #1  vm-authority
orchestrator/services/ide_session.py  IdeSessionService._current_ide_restore_runtime  http  session.get  a5f7a072e653  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._extract_snapshot_to_k8s_pod  remote-effect  stream_extract_snapshot  82b5dd0c4392  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._extract_snapshot_to_vm  remote-effect  stream_extract_snapshot  42aa99e3ecc5  #1  vm-authority
orchestrator/services/ide_session.py  IdeSessionService._install_and_sync_managed_repository_over_ssh  ssh  pinned_agent_ssh_command  26dd436c5d80  #1  pinned-host-key
orchestrator/services/ide_session.py  IdeSessionService._repair_git_after_snapshot  ssh  self._install_and_sync_managed_repository_over_ssh  c7ec3aa04f8c  #1  pinned-host-key
orchestrator/services/ide_session.py  IdeSessionService._restore_k8s_ide_container  ssh  self._install_and_sync_managed_repository_over_ssh  210eb27e270d  #1  pinned-host-key
orchestrator/services/ide_session.py  IdeSessionService._restore_snapshot_container  remote-effect  self._extract_snapshot_to_k8s_pod  1dfbd0608e92  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._restore_snapshot_container  remote-effect  self._repair_git_after_snapshot  26cdb264b7f7  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._restore_snapshot_container  remote-effect  self._seed_ide_profile_for_user  a2435ee0347f  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._seed_ide_profile_for_user  remote-effect  seed_ide_config_for_user  31650da1ba4d  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._seed_ide_profile_for_user  remote-effect  seed_ide_profile  607f30f47efb  #1  fresh-k8s-attestation
orchestrator/services/ide_session.py  IdeSessionService._workspace_populated  ssh  pinned_agent_ssh_command  b3027027892d  #1  pinned-host-key
orchestrator/services/ide_settings.py  _ssh_tar_to_file  remote-effect  create_owned_subprocess_exec  7abf6b849f19  #1  pinned-host-key
orchestrator/services/ide_settings.py  _ssh_tar_to_file  ssh  build_agent_ssh_cmd  f8767f86b8ea  #1  local-only
orchestrator/services/ide_settings.py  _ssh_untar_from_file  ssh  build_agent_ssh_cmd  08a92c9f4009  #1  pinned-host-key
orchestrator/services/ide_settings.py  _ssh_untar_from_file  ssh  pinned_agent_ssh_command  7205bc5e3833  #1  pinned-host-key
orchestrator/services/lifecycle/vm_manager.py  VMInstanceManager._snapshot_owned  remote-effect  self._snapshot.capture_vm_snapshot  c2b31557f45b  #1  vm-authority
orchestrator/services/lifecycle/workspace_manager.py  WorkspaceInstanceManager._snapshot_owned  remote-effect  self._snapshot.capture_vm_snapshot  051a85b779a1  #1  contained-k8s
orchestrator/services/nats_bridge.py  NatsBridge._notify_vm_ready  remote-effect  self._seed_vm_ide_config  b288ac12ec39  #1  vm-authority
orchestrator/services/nats_bridge.py  NatsBridge._seed_vm_ide_config  remote-effect  seed_ide_config_for_user  27c74a329672  #1  vm-authority
orchestrator/services/nats_bridge.py  NatsBridge._seed_vm_ide_config  remote-effect  seed_ide_profile  90e369e5ccad  #1  vm-authority
orchestrator/services/session_lifecycle.py  probe_ready  http  client.get  95d911b5ceac  #1  read-only-probe
orchestrator/services/snapshot_service.py  SnapshotService._collect_environment_info  remote-effect  create_owned_subprocess_exec  e9d9dd29f04e  #1  pinned-host-key
orchestrator/services/snapshot_service.py  SnapshotService.capture_vm_snapshot  remote-effect  create_owned_subprocess_exec  48e3950913b3  #1  vm-authority
orchestrator/services/snapshot_service.py  SnapshotService.capture_vm_snapshot  remote-effect  create_owned_subprocess_exec  a2b4f48f9bae  #1  vm-authority
orchestrator/services/snapshot_service.py  SnapshotService.capture_vm_snapshot  remote-effect  self.upload_snapshot  8d7e90952645  #1  vm-authority
orchestrator/services/ssh_gateway_client.py  resolve_target  ssh  SshTarget  2d5328ea1c45  #1  pinned-host-key
orchestrator/services/ssh_gateway_server.py  connect_upstream  socket  asyncssh.connect  463ff14e685e  #1  pinned-host-key
orchestrator/services/ssh_helpers.py  _scan_pinned_host_key  remote-effect  create_owned_subprocess_exec  5aba5e03ae48  #1  pinned-host-key
orchestrator/services/ssh_helpers.py  pinned_agent_ssh_command  ssh  SSHHostKeyVerificationError  e9c8cd6548e1  #1  pinned-host-key
orchestrator/services/ssh_helpers.py  pinned_agent_ssh_command  ssh  build_agent_ssh_cmd  1655b1e96d17  #1  pinned-host-key
orchestrator/services/ssh_helpers.py  stream_extract_snapshot  remote-effect  create_owned_subprocess_exec  8a9f834f34a7  #1  pinned-host-key
orchestrator/services/ssh_helpers.py  stream_extract_snapshot  ssh  build_agent_ssh_cmd  4a8f49923e31  #1  pinned-host-key
orchestrator/services/ssh_helpers.py  wait_for_agent_ssh  remote-effect  create_owned_subprocess_exec  48e3950913b3  #1  pinned-host-key
orchestrator/services/ssh_helpers.py  wait_for_agent_ssh  ssh  build_agent_ssh_cmd  03995d101f31  #1  pinned-host-key
orchestrator/services/thread_uploads.py  resolve_thread_upload_destination  ssh  _SshTarget  edfd95d5f2d1  #1  pinned-host-key
orchestrator/services/vm_provisioner.py  VMProvisioner.release_vm_captured  remote-effect  self._snapshot_service.capture_vm_snapshot  22b821d81a7c  #1  vm-authority
orchestrator/services/vm_readiness.py  VMReadinessService._probe  remote-effect  seed_ide_config_for_user  2ab90cdbc684  #1  vm-authority
orchestrator/services/vm_readiness.py  VMReadinessService._probe  remote-effect  seed_ide_profile  60d991bbb85d  #1  vm-authority
orchestrator/services/vm_readiness.py  VMReadinessService._probe  ssh  wait_for_agent_ssh  4555c1fcc905  #1  vm-authority
orchestrator/services/vm_remote_operation.py  VMRemoteOperationLease.__aexit__  remote-effect  self.db.settle_vm_remote_operation  579f12752d18  #1  vm-authority
orchestrator/services/vm_remote_operation.py  claim_vm_remote_operation  remote-effect  VMRemoteOperationLease  53462e29e728  #1  vm-authority
orchestrator/services/vm_remote_operation.py  claim_vm_remote_operation  remote-effect  db.claim_vm_remote_operation  48d70082e804  #1  vm-authority
orchestrator/services/vm_remote_operation.py  claim_vm_remote_operation  remote-effect  db.settle_vm_remote_operation  77fac9be1100  #1  vm-authority
orchestrator/services/vm_remote_operation.py  claim_vm_remote_operation  remote-effect  db.settle_vm_remote_operation  77fac9be1100  #2  vm-authority
orchestrator/services/vm_remote_operation.py  claim_vm_remote_operation  remote-effect  db.settle_vm_remote_operation  7cb7387a168a  #1  vm-authority
orchestrator/services/workspace_suspension.py  WorkspaceSuspensionService._extract_snapshot  remote-effect  stream_extract_snapshot  9e54b80a0679  #1  pinned-host-key
orchestrator/services/workspace_suspension.py  WorkspaceSuspensionService._finish_container_thread_restore  remote-effect  self._extract_snapshot  effcc22556f5  #1  fresh-k8s-attestation
orchestrator/services/workspace_suspension.py  WorkspaceSuspensionService.restore_thread_workspace  remote-effect  self._extract_snapshot  effcc22556f5  #1  fresh-k8s-attestation
orchestrator/services/workspace_suspension.py  WorkspaceSuspensionService.restore_workspace  remote-effect  self._extract_snapshot  397068bf35ae  #1  fresh-k8s-attestation
orchestrator/services/workspace_suspension.py  WorkspaceSuspensionService.suspend_thread_workspace.capture_snapshot  remote-effect  self._snapshot_service.capture_vm_snapshot  fbaf2fe23d08  #1  vm-authority
orchestrator/services/workspace_suspension.py  WorkspaceSuspensionService.suspend_workspace  remote-effect  self._snapshot_service.capture_vm_snapshot  4ab8c90eeb71  #1  contained-k8s
